#{"t_start": 1582834890.839442, "env_id": "nailbot-v0"}
r,l,t
33.649798,11,1680.836312
28.020689,11,1682.084622
16.422383,11,1683.343446
18.190718,11,1684.471237
12.982499,11,1685.726637
32.31717,11,1686.951684
16.672565,11,1688.248223
12.127385,11,1689.405725
37.294215,11,1690.613937
18.740373,11,1691.905761
24.243171,11,1693.100147
36.374003,11,1694.32881
18.774613,11,1695.527827
19.954194,11,1696.669385
27.279652,11,1697.779001
33.105061,11,1698.793993
20.526048,11,1699.903746
23.64763,11,1701.124417
34.800429,11,1702.286122
30.445041,11,1703.5958
14.912592,11,1704.792086
19.122192,11,1705.985632
38.145099,11,1707.321487
33.415392,11,1708.484952
48.151573,11,1709.666634
32.143887,11,1710.918135
26.499439,11,1712.172365
29.601977,11,1713.356591
24.568667,11,1714.60229
11.680156,11,1715.863591
26.218689,11,1716.993725
24.566567,11,1718.167523
23.647346,11,1719.249986
28.834745,11,1720.229063
131.098296,11,1721.418127
24.123895,11,1722.681226
14.21217,11,1723.816612
24.245042,11,1725.202916
23.664577,11,1726.409004
34.384274,11,1727.651717
13.543333,11,1728.89611
33.173092,11,1730.129959
31.395678,11,1731.386016
16.979613,11,1732.538393
25.573796,11,1733.808373
15.663561,11,1735.072124
14.268181,11,1736.305413
38.30946,11,1737.449639
14.581395,11,1738.459572
32.98452,11,1739.599001
23.787101,11,1740.653489
17.679863,11,1741.702711
31.70806,11,1743.145987
23.703866,11,1744.443527
36.429481,11,1745.614164
18.63029,11,1746.800602
34.243454,11,1748.123711
37.522125,11,1749.349498
16.925209,11,1750.519517
24.215559,11,1751.737324
27.879317,11,1752.87449
23.486874,11,1754.039086
24.068345,11,1755.296787
33.619184,11,1756.511127
16.916941,11,1757.64267
30.866211,11,1758.885019
19.156284,11,1759.980113
28.999604,11,1760.968829
35.222053,11,1762.304661
35.705971,11,1763.551305
33.731322,11,1764.815489
22.546032,11,1766.117521
45.559469,11,1767.316532
23.617288,11,1768.548404
35.823901,11,1769.873889
30.420336,11,1771.125437
37.631421,11,1772.38821
18.818385,11,1773.556002
19.518838,11,1774.676353
23.902344,11,1775.889135
12.903112,11,1777.039899
23.088431,11,1778.147915
37.176274,11,1779.236133
27.02871,11,1780.334121
35.336959,11,1781.472397
20.82955,11,1782.627447
29.830019,11,1783.890189
33.46627,11,1785.157223
24.505703,11,1786.428555
31.955205,11,1787.762366
24.308914,11,1789.037615
26.203604,11,1790.280954
23.550538,11,1791.538641
22.462127,11,1792.72872
12.055963,11,1793.993667
29.330719,11,1795.223171
30.060754,11,1796.491695
31.350364,11,1797.536049
30.771204,11,1798.619762
21.523155,11,1799.840025
25.40878,11,1800.79549
28.152549,11,1802.017631
25.519513,11,1803.190449
18.759365,11,1804.439298
19.477087,11,1805.697843
22.944957,11,1806.987621
40.740243,11,1808.21291
18.201923,11,1809.398369
27.037327,11,1810.580886
35.500653,11,1811.84148
44.148205,11,1813.022588
30.634591,11,1814.261523
30.839721,11,1815.561419
31.891653,11,1816.775193
17.299688,11,1817.90381
33.679955,11,1819.020473
33.35296,11,1820.110759
20.130522,11,1821.149256
12.939447,11,1822.385022
31.415445,11,1823.723321
15.675036,11,1824.818434
32.001398,11,1826.071466
25.007217,11,1827.442473
24.738611,11,1828.778126
16.229517,11,1830.002103
24.9841,11,1831.213833
17.030126,11,1832.439415
22.510942,11,1833.683095
12.625738,11,1834.842196
16.515992,11,1836.037757
24.823606,11,1837.358778
